player_name,team,matches,innings,runs,batting_average,strike_rate,role
P Ray Barman,Royal Challengers Bangalore,1,0,0,0,0,Unknown
MJ Santner,Chennai Super Kings,19,0,0,0,0,Unknown
JP Behrendorff,Mumbai Indians,17,0,0,0,0,Unknown
SC Kuggeleijn,Chennai Super Kings,2,0,0,0,0,Unknown
AS Joseph,Mumbai Indians,22,0,0,0,0,Unknown
S Midhun,Rajasthan Royals,1,0,0,0,0,Unknown
HF Gurney,Kolkata Knight Riders,8,0,0,0,0,Unknown
SD Lad,Mumbai Indians,1,0,0,0,0,Unknown
R Parag,Rajasthan Royals,71,0,0,0,0,Unknown
JL Denly,Kolkata Knight Riders,1,0,0,0,0,Unknown
LS Livingstone,Rajasthan Royals,40,0,0,0,0,Unknown
Arshdeep Singh,Kings XI Punjab,66,0,0,0,0,Unknown
AJ Turner,Rajasthan Royals,6,0,0,0,0,Unknown
DW Steyn,Royal Challengers Bangalore,95,0,0,0,0,Unknown
Harpreet Brar,Kings XI Punjab,41,0,0,0,0,Unknown
SE Rutherford,Delhi Capitals,11,0,0,0,0,Unknown
Y Prithvi Raj,Kolkata Knight Riders,2,0,0,0,0,Unknown
O Thomas,Rajasthan Royals,4,0,0,0,0,Unknown
AS Roy,Mumbai Indians,10,0,0,0,0,Unknown
S Sandeep Warrier,Kolkata Knight Riders,10,0,0,0,0,Unknown
P Simran Singh,Kings XI Punjab,35,0,0,0,0,Unknown
J Suchith,Delhi Capitals,22,0,0,0,0,Unknown
JL Pattinson,Mumbai Indians,10,0,0,0,0,Unknown
A Nortje,Delhi Capitals,46,0,0,0,0,Unknown
SS Cottrell,Kings XI Punjab,6,0,0,0,0,Unknown
Ravi Bishnoi,Kings XI Punjab,68,0,0,0,0,Unknown
T Banton,Kolkata Knight Riders,2,0,0,0,0,Unknown
D Padikkal,Royal Challengers Bangalore,65,0,0,0,0,Unknown
I Udana,Royal Challengers Bangalore,10,0,0,0,0,Unknown
PK Garg,Sunrisers Hyderabad,23,0,0,0,0,Unknown
JO Holder,Sunrisers Hyderabad,46,0,0,0,0,Unknown
Abdul Samad,Sunrisers Hyderabad,51,0,0,0,0,Unknown
YBK Jaiswal,Rajasthan Royals,54,0,0,0,0,Unknown
RD Gaikwad,Chennai Super Kings,67,0,0,0,0,Unknown
KL Nagarkoti,Kolkata Knight Riders,12,0,0,0,0,Unknown
TU Deshpande,Delhi Capitals,38,0,0,0,0,Unknown
JR Philippe,Royal Challengers Bangalore,5,0,0,0,0,Unknown
Kartik Tyagi,Rajasthan Royals,20,0,0,0,0,Unknown
JDS Neesham,Kings XI Punjab,14,0,0,0,0,Unknown
Shahbaz Ahmed,Royal Challengers Bangalore,56,0,0,0,0,Unknown
DR Sams,Delhi Capitals,16,0,0,0,0,Unknown
N Jagadeesan,Chennai Super Kings,13,0,0,0,0,Unknown
AT Carey,Delhi Capitals,3,0,0,0,0,Unknown
JR Hazlewood,Chennai Super Kings,28,0,0,0,0,Unknown
CJ Green,Kolkata Knight Riders,1,0,0,0,0,Unknown
MR Marsh,Sunrisers Hyderabad,44,0,0,0,0,Unknown
P Dubey,Delhi Capitals,4,0,0,0,0,Unknown
Monu Kumar,Chennai Super Kings,1,0,0,0,0,Unknown
M Jansen,Mumbai Indians,22,0,0,0,0,Unknown
RM Patidar,Royal Challengers Bangalore,28,0,0,0,0,Unknown
KA Jamieson,Royal Challengers Bangalore,9,0,0,0,0,Unknown
M Shahrukh Khan,Punjab Kings,41,0,0,0,0,Unknown
JA Richardson,Punjab Kings,4,0,0,0,0,Unknown
RP Meredith,Punjab Kings,18,0,0,0,0,Unknown
C Sakariya,Rajasthan Royals,19,0,0,0,0,Unknown
Lalit Yadav,Delhi Capitals,27,0,0,0,0,Unknown
Virat Singh,Sunrisers Hyderabad,3,0,0,0,0,Unknown
Jalaj S Saxena,Punjab Kings,1,0,0,0,0,Unknown
LI Meriwala,Delhi Capitals,1,0,0,0,0,Unknown
FA Allen,Punjab Kings,5,0,0,0,0,Unknown
KW Richardson,Royal Challengers Bangalore,15,0,0,0,0,Unknown
Anuj Rawat,Rajasthan Royals,24,0,0,0,0,Unknown
DJ Malan,Punjab Kings,1,0,0,0,0,Unknown
KS Bharat,Royal Challengers Bangalore,10,0,0,0,0,Unknown
PWH de Silva,Royal Challengers Bangalore,27,0,0,0,0,Unknown
VR Iyer,Kolkata Knight Riders,52,0,0,0,0,Unknown
Umran Malik,Sunrisers Hyderabad,26,0,0,0,0,Unknown
GD Phillips,Rajasthan Royals,8,0,0,0,0,Unknown
Akash Singh,Rajasthan Royals,7,0,0,0,0,Unknown
GHS Garton,Royal Challengers Bangalore,5,0,0,0,0,Unknown
AK Markram,Punjab Kings,46,0,0,0,0,Unknown
K Yadav,Rajasthan Royals,3,0,0,0,0,Unknown
T Shamsi,Rajasthan Royals,5,0,0,0,0,Unknown
NT Ellis,Punjab Kings,17,0,0,0,0,Unknown
RV Patel,Delhi Capitals,9,0,0,0,0,Unknown
TL Seifert,Kolkata Knight Riders,3,0,0,0,0,Unknown
Anmolpreet Singh,Mumbai Indians,9,0,0,0,0,Unknown
IC Porel,Punjab Kings,1,0,0,0,0,Unknown
AU Rashid,Punjab Kings,3,0,0,0,0,Unknown
TH David,Royal Challengers Bangalore,39,0,0,0,0,Unknown
DP Conway,Chennai Super Kings,23,0,0,0,0,Unknown
Tilak Varma,Mumbai Indians,39,0,0,0,0,Unknown
R Powell,Delhi Capitals,26,0,0,0,0,Unknown
Akash Deep,Royal Challengers Bangalore,8,0,0,0,0,Unknown
PBB Rajapaksa,Punjab Kings,13,0,0,0,0,Unknown
RA Bawa,Punjab Kings,2,0,0,0,0,Unknown
OF Smith,Punjab Kings,6,0,0,0,0,Unknown
A Badoni,Lucknow Super Giants,44,0,0,0,0,Unknown
PVD Chameera,Lucknow Super Giants,13,0,0,0,0,Unknown
Mohsin Khan,Lucknow Super Giants,24,0,0,0,0,Unknown
MS Wade,Gujarat Titans,15,0,0,0,0,Unknown
A Manohar,Gujarat Titans,21,0,0,0,0,Unknown
R Shepherd,Sunrisers Hyderabad,10,0,0,0,0,Unknown
D Pretorius,Chennai Super Kings,7,0,0,0,0,Unknown
Mukesh Choudhary,Chennai Super Kings,14,0,0,0,0,Unknown
JM Sharma,Punjab Kings,41,0,0,0,0,Unknown
VG Arora,Punjab Kings,22,0,0,0,0,Unknown
D Brevis,Mumbai Indians,10,0,0,0,0,Unknown
B Sai Sudharsan,Gujarat Titans,26,0,0,0,0,Unknown
DG Nalkande,Gujarat Titans,6,0,0,0,0,Unknown
M Theekshana,Chennai Super Kings,29,0,0,0,0,Unknown
Shashank Singh,Sunrisers Hyderabad,25,0,0,0,0,Unknown
Ramandeep Singh,Mumbai Indians,21,0,0,0,0,Unknown
HE van der Dussen,Rajasthan Royals,3,0,0,0,0,Unknown
KR Sen,Rajasthan Royals,12,0,0,0,0,Unknown
SS Prabhudessai,Royal Challengers Bangalore,11,0,0,0,0,Unknown
Yash Dayal,Gujarat Titans,29,0,0,0,0,Unknown
Aman Hakim Khan,Kolkata Knight Riders,12,0,0,0,0,Unknown
OC McCoy,Rajasthan Royals,8,0,0,0,0,Unknown
HR Shokeen,Mumbai Indians,13,0,0,0,0,Unknown
R Dhawan,Punjab Kings,39,0,0,0,0,Unknown
DJ Mitchell,Rajasthan Royals,15,0,0,0,0,Unknown
B Indrajith,Kolkata Knight Riders,3,0,0,0,0,Unknown
Harshit Rana,Kolkata Knight Riders,22,0,0,0,0,Unknown
K Kartikeya,Mumbai Indians,12,0,0,0,0,Unknown
Simarjeet Singh,Chennai Super Kings,12,0,0,0,0,Unknown
SA Abbott,Sunrisers Hyderabad,3,0,0,0,0,Unknown
Fazalhaq Farooqi,Sunrisers Hyderabad,8,0,0,0,0,Unknown
R Sai Kishore,Gujarat Titans,11,0,0,0,0,Unknown
KS Sharma,Lucknow Super Giants,3,0,0,0,0,Unknown
T Stubbs,Mumbai Indians,19,0,0,0,0,Unknown
PH Solanki,Chennai Super Kings,2,0,0,0,0,Unknown
M Pathirana,Chennai Super Kings,20,0,0,0,0,Unknown
R Sanjay Yadav,Mumbai Indians,1,0,0,0,0,Unknown
A Tomar,Kolkata Knight Riders,1,0,0,0,0,Unknown
PN Mankad,Punjab Kings,6,0,0,0,0,Unknown
RS Hangargekar,Chennai Super Kings,2,0,0,0,0,Unknown
J Little,Gujarat Titans,11,0,0,0,0,Unknown
Sikandar Raza,Punjab Kings,9,0,0,0,0,Unknown
Rahmanullah Gurbaz,Kolkata Knight Riders,13,0,0,0,0,Unknown
KR Mayers,Lucknow Super Giants,13,0,0,0,0,Unknown
RR Rossouw,Delhi Capitals,22,0,0,0,0,Unknown
Mukesh Kumar,Delhi Capitals,21,0,0,0,0,Unknown
NA Saini,Rajasthan Royals,1,0,0,0,0,Unknown
HC Brook,Sunrisers Hyderabad,11,0,0,0,0,Unknown
C Green,Mumbai Indians,29,0,0,0,0,Unknown
N Wadhera,Mumbai Indians,20,0,0,0,0,Unknown
Arshad Khan,Mumbai Indians,10,0,0,0,0,Unknown
MG Bracewell,Royal Challengers Bangalore,5,0,0,0,0,Unknown
RJW Topley,Royal Challengers Bangalore,5,0,0,0,0,Unknown
Yash Thakur,Lucknow Super Giants,19,0,0,0,0,Unknown
Abishek Porel,Delhi Capitals,19,0,0,0,0,Unknown
Dhruv Jurel,Rajasthan Royals,29,0,0,0,0,Unknown
Suyash Sharma,Kolkata Knight Riders,14,0,0,0,0,Unknown
SSB Magala,Chennai Super Kings,2,0,0,0,0,Unknown
MW Short,Punjab Kings,6,0,0,0,0,Unknown
Mohit Rathee,Punjab Kings,1,0,0,0,0,Unknown
WD Parnell,Royal Challengers Bangalore,33,0,0,0,0,Unknown
YV Dhull,Delhi Capitals,4,0,0,0,0,Unknown
Vijaykumar Vyshak,Royal Challengers Bangalore,12,0,0,0,0,Unknown
Yudhvir Singh,Lucknow Super Giants,5,0,0,0,0,Unknown
Atharva Taide,Punjab Kings,9,0,0,0,0,Unknown
Harpreet Singh,Punjab Kings,9,0,0,0,0,Unknown
Arjun Tendulkar,Mumbai Indians,5,0,0,0,0,Unknown
D Jansen,Mumbai Indians,1,0,0,0,0,Unknown
Noor Ahmad,Gujarat Titans,24,0,0,0,0,Unknown
Naveen-ul-Haq,Lucknow Super Giants,18,0,0,0,0,Unknown
Liton Das,Kolkata Knight Riders,1,0,0,0,0,Unknown
PD Salt,Delhi Capitals,22,0,0,0,0,Unknown
Mayank Dagar,Sunrisers Hyderabad,8,0,0,0,0,Unknown
Abdul Basith,Rajasthan Royals,1,0,0,0,0,Unknown
D Wiese,Kolkata Knight Riders,18,0,0,0,0,Unknown
Gurnoor Brar,Punjab Kings,1,0,0,0,0,Unknown
AJ Hosein,Sunrisers Hyderabad,1,0,0,0,0,Unknown
Akash Madhwal,Mumbai Indians,13,0,0,0,0,Unknown
R Goyal,Mumbai Indians,1,0,0,0,0,Unknown
JE Root,Rajasthan Royals,3,0,0,0,0,Unknown
Vivrant Sharma,Sunrisers Hyderabad,3,0,0,0,0,Unknown
MD Shanaka,Gujarat Titans,3,0,0,0,0,Unknown
Sanvir Singh,Sunrisers Hyderabad,6,0,0,0,0,Unknown
Nithish Kumar Reddy,Sunrisers Hyderabad,17,0,0,0,0,Unknown
H Sharma,Royal Challengers Bangalore,2,0,0,0,0,Unknown
R Ravindra,Chennai Super Kings,11,0,0,0,0,Unknown
Sameer Rizvi,Chennai Super Kings,9,0,0,0,0,Unknown
SD Hope,Delhi Capitals,9,0,0,0,0,Unknown
Sumit Kumar,Delhi Capitals,4,0,0,0,0,Unknown
MA Starc,Kolkata Knight Riders,41,0,0,0,0,Unknown
