player_name,team,role,matches,innings,runs,batting_average,strike_rate,wickets,economy_rate,bowling_average,batting_consistency,batting_impact,bowling_impact,all_rounder_rating,estimated_fantasy_points,cost
MP Stoinis,Kings XI Punjab,Unknown,97.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.731599006307906
Swapnil Singh,Kings XI Punjab,Unknown,14.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.899220596467023
MM Sharma,Kings XI Punjab,Unknown,113.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.76213877407272
Sandeep Sharma,Kings XI Punjab,Unknown,128.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.166577402678627
T Natarajan,Kings XI Punjab,Unknown,61.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.202098787394553
DT Christian,Rising Pune Supergiant,Unknown,49.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.392552436509527
RD Chahar,Rising Pune Supergiant,Unknown,78.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.020157597613345
Vishnu Vinod,Royal Challengers Bangalore,Unknown,6.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.226981560008923
P Negi,Royal Challengers Bangalore,Unknown,50.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.430540844476466
Iqbal Abdulla,Royal Challengers Bangalore,Unknown,49.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.883355272667966
B Stanlake,Royal Challengers Bangalore,Unknown,6.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.093202483142337
AP Tare,Delhi Daredevils,Unknown,35.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.897056548374795
SW Billings,Delhi Daredevils,Unknown,30.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.19468679539455
KK Nair,Delhi Daredevils,Unknown,76.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.20370160912296
SV Samson,Delhi Daredevils,Unknown,169.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.09031771904376
RR Pant,Delhi Daredevils,Unknown,113.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.399252374285629
CH Morris,Delhi Daredevils,Unknown,81.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.871553874096621
CR Brathwaite,Delhi Daredevils,Unknown,16.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.705961816103047
PJ Cummins,Delhi Daredevils,Unknown,60.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.150319028943146
A Mishra,Delhi Daredevils,Unknown,162.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.057712389535274
S Nadeem,Delhi Daredevils,Unknown,72.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.85155190526935
Z Khan,Delhi Daredevils,Unknown,99.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.162400686996783
Basil Thampi,Gujarat Lions,Unknown,25.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.44895526456232
Tejas Baroka,Gujarat Lions,Unknown,1.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.678393271721273
AS Rajpoot,Kolkata Knight Riders,Unknown,29.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.13845381521115
Harbhajan Singh,Mumbai Indians,Unknown,163.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.986072380310201
SL Malinga,Mumbai Indians,Unknown,122.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.247901467542164
VR Aaron,Kings XI Punjab,Unknown,52.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.13109654978973
AB de Villiers,Royal Challengers Bangalore,Unknown,183.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.198150566058722
CJ Anderson,Delhi Daredevils,Unknown,30.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,8.99591200745497
F du Plessis,Rising Pune Supergiant,Unknown,145.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,9.907165300640262
RA Tripathi,Rising Pune Supergiant,Unknown,96.0,0.0,0.0,0.0,0.0,0,0,0,0.5,0.0,0,0.0,0.0,10.186550897519703
